dataset,distribution,n,params,ks_statistic,ks_pvalue,aic,bic,log_likelihood,label,caption,segment,segment_label,group
iat__tcp,poisson,8327,"{'lambda': 35706.781587015714, 'mean_iat': 2.800588447219887e-05, 'scale': 2.800588447219887e-05}",0.5976341577884483,0.0,-157929.4792876072,-157922.45202908095,78965.7396438036,Inter-arrival time,"best=poisson (lambda=3.571e+04, mean_iat=2.801e-05, scale=2.801e-05); KS D=0.5976, p=0.00e+00; AIC=-157929.5, BIC=-157922.5",transport_proto,Transport protocol,tcp
iat__udp,poisson,960,"{'lambda': 25757.291191543023, 'mean_iat': 3.8823958333333335e-05, 'scale': 3.8823958333333335e-05}",0.5864533519084136,1.3187806995e-314,-17578.428196635996,-17573.561263351534,8790.214098317998,Inter-arrival time,"best=poisson (lambda=2.576e+04, mean_iat=3.882e-05, scale=3.882e-05); KS D=0.5865, p=1.32e-314; AIC=-17578.4, BIC=-17573.6",transport_proto,Transport protocol,udp
frame_len__tcp,gamma,8328,"{'shape': 0.7283138243441611, 'loc': 0.0, 'scale': 1105.0893148882187}",0.30172714476536,0.0,127473.9239587383,127487.97871595889,-63734.96197936915,Packet size,"best=gamma (shape=0.7283, loc=0, scale=1105); KS D=0.3017, p=0.00e+00; AIC=127473.9, BIC=127488.0",transport_proto,Transport protocol,tcp
frame_len__udp,lognormal,960,"{'shape': 1.152013991630519, 'loc': 0.0, 'scale': 283.45287492380885}",0.18378042942750328,7.503952106853627e-29,13842.392558559306,13852.12642512823,-6919.196279279653,Packet size,"best=lognormal (shape=1.152, loc=0, scale=283.5); KS D=0.1838, p=7.50e-29; AIC=13842.4, BIC=13852.1",transport_proto,Transport protocol,udp
flow_duration__tcp,gamma,555,"{'shape': 0.5081511842254013, 'loc': 0.0, 'scale': 0.19200177240503163}",0.1706627216540128,1.3304772794364324e-14,-1696.3129644931496,-1687.6750282656567,850.1564822465748,Flow duration,"best=gamma (shape=0.5082, loc=0, scale=0.192); KS D=0.1707, p=1.33e-14; AIC=-1696.3, BIC=-1687.7",transport_proto,Transport protocol,tcp
flow_duration__udp,gamma,119,"{'shape': 0.3269526886619744, 'loc': 0.0, 'scale': 0.2542916691592379}",0.18568029526422658,0.0004592775034565839,-516.9438333205694,-511.3855863343463,260.4719166602847,Flow duration,"best=gamma (shape=0.327, loc=0, scale=0.2543); KS D=0.1857, p=4.59e-04; AIC=-516.9, BIC=-511.4",transport_proto,Transport protocol,udp
flow_byte_sum__tcp,pareto,947,"{'shape': 0.5100631785508867, 'loc': 0.0, 'scale': 60.0}",0.18836741283887332,6.795127320165867e-30,14641.034064147574,14650.740662333947,-7318.517032073787,Flow size,"best=pareto (shape=0.5101, loc=0, scale=60); KS D=0.1884, p=6.80e-30; AIC=14641.0, BIC=14650.7",transport_proto,Transport protocol,tcp
flow_byte_sum__udp,pareto,302,"{'shape': 0.6344875782010946, 'loc': 0.0, 'scale': 60.0}",0.05838347237244568,0.24500460208133423,4307.7156981112275,4315.1365521459775,-2151.8578490556138,Flow size,"best=pareto (shape=0.6345, loc=0, scale=60); KS D=0.0584, p=2.45e-01; AIC=4307.7, BIC=4315.1",transport_proto,Transport protocol,udp
flow_throughput__tcp,lognormal,555,"{'shape': 2.6687424916075306, 'loc': 0.0, 'scale': 354381.8363632503}",0.12099776440787724,1.5412345929811262e-07,16852.33054020771,16860.968476435202,-8424.165270103855,Flow throughput,"best=lognormal (shape=2.669, loc=0, scale=3.544e+05); KS D=0.1210, p=1.54e-07; AIC=16852.3, BIC=16861.0",transport_proto,Transport protocol,tcp
flow_throughput__udp,pareto,119,"{'shape': 0.20945223301914095, 'loc': 0.0, 'scale': 5592.146048366179}",0.13603008104664008,0.022104878225967517,3804.0832244113653,3809.6414713975882,-1900.0416122056827,Flow throughput,"best=pareto (shape=0.2095, loc=0, scale=5592); KS D=0.1360, p=2.21e-02; AIC=3804.1, BIC=3809.6",transport_proto,Transport protocol,udp
iat__all,poisson,9999,"{'lambda': 34361.178981226614, 'mean_iat': 2.9102610261026097e-05, 'scale': 2.9102610261026097e-05}",0.5978181890342589,0.0,-188872.76439698346,-188865.55415661648,94437.38219849173,Inter-arrival time,"best=poisson (lambda=3.436e+04, mean_iat=2.91e-05, scale=2.91e-05); KS D=0.5978, p=0.00e+00; AIC=-188872.8, BIC=-188865.6",packet_role,Control vs data,all
frame_len__all,gamma,10000,"{'shape': 0.718483859501341, 'loc': 0.0, 'scale': 1027.7814737724414}",0.2513844678727532,0.0,151272.48744184696,151286.90812259092,-75634.24372092348,Packet size,"best=gamma (shape=0.7185, loc=0, scale=1028); KS D=0.2514, p=0.00e+00; AIC=151272.5, BIC=151286.9",packet_role,Control vs data,all
iat__control,poisson,4136,"{'lambda': 31971.800500912155, 'mean_iat': 3.1277562862669246e-05, 'scale': 3.1277562862669246e-05}",0.6177378353913556,0.0,-77528.22627138722,-77521.89878697103,38765.11313569361,Inter-arrival time,"best=poisson (lambda=3.197e+04, mean_iat=3.128e-05, scale=3.128e-05); KS D=0.6177, p=0.00e+00; AIC=-77528.2, BIC=-77521.9",packet_role,Control vs data,control
iat__data,poisson,5745,"{'lambda': 36078.52495666809, 'mean_iat': 2.771731940818103e-05, 'scale': 2.771731940818103e-05}",0.5832452000599384,0.0,-109077.77601289129,-109071.11992770102,54539.888006445646,Inter-arrival time,"best=poisson (lambda=3.608e+04, mean_iat=2.772e-05, scale=2.772e-05); KS D=0.5832, p=0.00e+00; AIC=-109077.8, BIC=-109071.1",packet_role,Control vs data,data
frame_len__control,lognormal,4136,"{'shape': 0.25501597736170406, 'loc': 0.0, 'scale': 67.28319096780746}",0.340297757131293,0.0,35254.46538348759,35267.12035231997,-17625.232691743797,Packet size,"best=lognormal (shape=0.255, loc=0, scale=67.28); KS D=0.3403, p=0.00e+00; AIC=35254.5, BIC=35267.1",packet_role,Control vs data,control
frame_len__data,weibull,5746,"{'shape': 2.4133969542012355, 'loc': 0.0, 'scale': 1329.4651521585786}",0.3620746084334855,0.0,89344.26994947306,89357.58246795215,-44670.13497473653,Packet size,"best=weibull (shape=2.413, loc=0, scale=1329); KS D=0.3621, p=0.00e+00; AIC=89344.3, BIC=89357.6",packet_role,Control vs data,data
flow_duration__all,gamma,692,"{'shape': 0.4586953057787982, 'loc': 0.0, 'scale': 0.2058372502590913}",0.16861808799635924,1.1435032503190098e-17,-2273.6820199588346,-2264.6028480475993,1138.8410099794173,Flow duration,"best=gamma (shape=0.4587, loc=0, scale=0.2058); KS D=0.1686, p=1.14e-17; AIC=-2273.7, BIC=-2264.6",flow_size_class,Mice vs elephant flows,all
flow_byte_sum__all,pareto,1834,"{'shape': 0.7232074044773247, 'loc': 0.0, 'scale': 60.0}",0.2638507082183811,3.586329513652801e-113,24950.55584200801,24961.584351313642,-12473.277921004004,Flow size,"best=pareto (shape=0.7232, loc=0, scale=60); KS D=0.2639, p=3.59e-113; AIC=24950.6, BIC=24961.6",flow_size_class,Mice vs elephant flows,all
flow_throughput__all,lognormal,692,"{'shape': 2.9019302813743315, 'loc': 0.0, 'scale': 401088.8440885725}",0.11112963667319115,6.723803739177866e-08,21298.574015150793,21307.653187062027,-10647.287007575396,Flow throughput,"best=lognormal (shape=2.902, loc=0, scale=4.011e+05); KS D=0.1111, p=6.72e-08; AIC=21298.6, BIC=21307.7",flow_size_class,Mice vs elephant flows,all
flow_duration__mice,gamma,600,"{'shape': 0.4315960334007963, 'loc': 0.0, 'scale': 0.1981992019989498}",0.16684653169016783,4.559485871815954e-15,-2157.680507969902,-2148.8866486594698,1080.840253984951,Flow duration,"best=gamma (shape=0.4316, loc=0, scale=0.1982); KS D=0.1668, p=4.56e-15; AIC=-2157.7, BIC=-2148.9",flow_size_class,Mice vs elephant flows,mice
flow_duration__elephant,weibull,92,"{'shape': 1.1547223046138986, 'loc': 0.0, 'scale': 0.15814523069259853}",0.20311320370684377,0.0008357657815548647,-160.54318738958915,-155.49961023549108,82.27159369479457,Flow duration,"best=weibull (shape=1.155, loc=0, scale=0.1581); KS D=0.2031, p=8.36e-04; AIC=-160.5, BIC=-155.5",flow_size_class,Mice vs elephant flows,elephant
flow_byte_sum__mice,pareto,1742,"{'shape': 0.8892520257506087, 'loc': 0.0, 'scale': 60.0}",0.269804822043628,1.7252353602975947e-112,22079.528951318385,22090.45452963321,-11037.764475659193,Flow size,"best=pareto (shape=0.8893, loc=0, scale=60); KS D=0.2698, p=1.73e-112; AIC=22079.5, BIC=22090.5",flow_size_class,Mice vs elephant flows,mice
flow_byte_sum__elephant,pareto,92,"{'shape': 0.9732953937953933, 'loc': 0.0, 'scale': 11366.0}",0.0963611065554244,0.33829108113549966,2100.291149618928,2105.334726773026,-1048.145574809464,Flow size,"best=pareto (shape=0.9733, loc=0, scale=1.137e+04); KS D=0.0964, p=3.38e-01; AIC=2100.3, BIC=2105.3",flow_size_class,Mice vs elephant flows,elephant
flow_throughput__mice,pareto,600,"{'shape': 0.23998916412735194, 'loc': 0.0, 'scale': 4579.496936031991}",0.19153300233180576,9.434849705613652e-20,18032.032883031563,18040.826742341997,-9014.016441515781,Flow throughput,"best=pareto (shape=0.24, loc=0, scale=4579); KS D=0.1915, p=9.43e-20; AIC=18032.0, BIC=18040.8",flow_size_class,Mice vs elephant flows,mice
flow_throughput__elephant,pareto,92,"{'shape': 0.5315288316488869, 'loc': 0.0, 'scale': 448885.3567926807}",0.07669692158145655,0.6233853635433821,3045.1310478069654,3050.1746249610633,-1520.5655239034827,Flow throughput,"best=pareto (shape=0.5315, loc=0, scale=4.489e+05); KS D=0.0767, p=6.23e-01; AIC=3045.1, BIC=3050.2",flow_size_class,Mice vs elephant flows,elephant
iat__all,poisson,9999,"{'lambda': 34361.178981226614, 'mean_iat': 2.9102610261026097e-05, 'scale': 2.9102610261026097e-05}",0.5978181890342589,0.0,-188872.76439698346,-188865.55415661648,94437.38219849173,Inter-arrival time,"best=poisson (lambda=3.436e+04, mean_iat=2.91e-05, scale=2.91e-05); KS D=0.5978, p=0.00e+00; AIC=-188872.8, BIC=-188865.6",app_proto,Application protocol,all
frame_len__all,gamma,10000,"{'shape': 0.718483859501341, 'loc': 0.0, 'scale': 1027.7814737724414}",0.2513844678727532,0.0,151272.48744184696,151286.90812259092,-75634.24372092348,Packet size,"best=gamma (shape=0.7185, loc=0, scale=1028); KS D=0.2514, p=0.00e+00; AIC=151272.5, BIC=151286.9",app_proto,Application protocol,all
flow_duration__all,gamma,692,"{'shape': 0.4586953057787982, 'loc': 0.0, 'scale': 0.2058372502590913}",0.16861808799635924,1.1435032503190098e-17,-2273.6820199588346,-2264.6028480475993,1138.8410099794173,Flow duration,"best=gamma (shape=0.4587, loc=0, scale=0.2058); KS D=0.1686, p=1.14e-17; AIC=-2273.7, BIC=-2264.6",app_proto,Application protocol,all
flow_byte_sum__all,pareto,1834,"{'shape': 0.7232074044773247, 'loc': 0.0, 'scale': 60.0}",0.2638507082183811,3.586329513652801e-113,24950.55584200801,24961.584351313642,-12473.277921004004,Flow size,"best=pareto (shape=0.7232, loc=0, scale=60); KS D=0.2639, p=3.59e-113; AIC=24950.6, BIC=24961.6",app_proto,Application protocol,all
iat__http,poisson,5697,"{'lambda': 37320.42371160358, 'mean_iat': 2.6794979813937167e-05, 'scale': 2.6794979813937167e-05}",0.5998282369226364,0.0,-108552.01071936317,-108545.36302436369,54277.005359681585,Inter-arrival time,"best=poisson (lambda=3.732e+04, mean_iat=2.679e-05, scale=2.679e-05); KS D=0.5998, p=0.00e+00; AIC=-108552.0, BIC=-108545.4",app_proto,Application protocol,http
iat__tls,poisson,993,"{'lambda': 36941.96428571428, 'mean_iat': 2.7069486404833838e-05, 'scale': 2.7069486404833838e-05}",0.5796434470766325,4.2314934e-317,-18898.967406761505,-18894.06667609746,9450.483703380753,Inter-arrival time,"best=poisson (lambda=3.694e+04, mean_iat=2.707e-05, scale=2.707e-05); KS D=0.5796, p=4.23e-317; AIC=-18899.0, BIC=-18894.1",app_proto,Application protocol,tls
iat__dns,poisson,222,"{'lambda': 27570.789865871833, 'mean_iat': 3.627027027027027e-05, 'scale': 3.627027027027027e-05}",0.5919466463057105,1.1076929096669773e-74,-4093.683395966131,-4090.2807185842585,2047.8416979830654,Inter-arrival time,"best=poisson (lambda=2.757e+04, mean_iat=3.627e-05, scale=3.627e-05); KS D=0.5919, p=1.11e-74; AIC=-4093.7, BIC=-4090.3",app_proto,Application protocol,dns
iat__rdp,poisson,125,"{'lambda': 34818.94150417828, 'mean_iat': 2.8719999999999996e-05, 'scale': 2.8719999999999996e-05}",0.6139880822272403,7.617394292072972e-46,-2362.4792034460625,-2359.65088970876,1182.2396017230312,Inter-arrival time,"best=poisson (lambda=3.482e+04, mean_iat=2.872e-05, scale=2.872e-05); KS D=0.6140, p=7.62e-46; AIC=-2362.5, BIC=-2359.7",app_proto,Application protocol,rdp
frame_len__http,gamma,5698,"{'shape': 0.7155588751982344, 'loc': 0.0, 'scale': 1134.6279789600794}",0.31412869117769304,0.0,87264.80745604928,87278.1031970794,-43630.40372802464,Packet size,"best=gamma (shape=0.7156, loc=0, scale=1135); KS D=0.3141, p=0.00e+00; AIC=87264.8, BIC=87278.1",app_proto,Application protocol,http
frame_len__tls,gamma,993,"{'shape': 0.7278888848095565, 'loc': 0.0, 'scale': 1071.6308679253384}",0.274689898251294,1.0399302200368723e-66,15140.529983885976,15150.331445214066,-7568.264991942988,Packet size,"best=gamma (shape=0.7279, loc=0, scale=1072); KS D=0.2747, p=1.04e-66; AIC=15140.5, BIC=15150.3",app_proto,Application protocol,tls
frame_len__dns,lognormal,222,"{'shape': 0.8467898269297832, 'loc': 0.0, 'scale': 202.60937729572782}",0.1597598564374052,2.0396986068900648e-05,2918.3785509912664,2925.183905755011,-1457.1892754956332,Packet size,"best=lognormal (shape=0.8468, loc=0, scale=202.6); KS D=0.1598, p=2.04e-05; AIC=2918.4, BIC=2925.2",app_proto,Application protocol,dns
frame_len__rdp,lognormal,125,"{'shape': 0.2422023700116744, 'loc': 0.0, 'scale': 64.77297170232112}",0.41312004684978,8.051993119401803e-20,1046.9613209076108,1052.6179483822154,-521.4806604538054,Packet size,"best=lognormal (shape=0.2422, loc=0, scale=64.77); KS D=0.4131, p=8.05e-20; AIC=1047.0, BIC=1052.6",app_proto,Application protocol,rdp
flow_duration__http,gamma,371,"{'shape': 0.6057071058869243, 'loc': 0.0, 'scale': 0.16620322419493547}",0.14615335744257324,2.2188017323569355e-07,-1033.815180404802,-1025.9827762795871,518.907590202401,Flow duration,"best=gamma (shape=0.6057, loc=0, scale=0.1662); KS D=0.1462, p=2.22e-07; AIC=-1033.8, BIC=-1026.0",app_proto,Application protocol,http
flow_duration__dns,gamma,60,"{'shape': 0.3052856014016635, 'loc': 0.0, 'scale': 0.14760770240059384}",0.18228644983498832,0.032330316105925294,-346.3357431033493,-342.1470539789051,175.16787155167464,Flow duration,"best=gamma (shape=0.3053, loc=0, scale=0.1476); KS D=0.1823, p=3.23e-02; AIC=-346.3, BIC=-342.1",app_proto,Application protocol,dns
flow_duration__tls,gamma,89,"{'shape': 0.2899771978950722, 'loc': 0.0, 'scale': 0.2599599309179085}",0.22727045615734576,0.00016012354565343273,-441.4469063430509,-436.4696336035866,222.72345317152545,Flow duration,"best=gamma (shape=0.29, loc=0, scale=0.26); KS D=0.2273, p=1.60e-04; AIC=-441.4, BIC=-436.5",app_proto,Application protocol,tls
flow_byte_sum__http,pareto,617,"{'shape': 0.503124320159909, 'loc': 0.0, 'scale': 60.0}",0.21831669025273193,2.664396911400129e-26,9590.752101218273,9599.601839266084,-4793.376050609137,Flow size,"best=pareto (shape=0.5031, loc=0, scale=60); KS D=0.2183, p=2.66e-26; AIC=9590.8, BIC=9599.6",app_proto,Application protocol,http
flow_byte_sum__dns,lognormal,161,"{'shape': 0.892061610413594, 'loc': 0.0, 'scale': 274.4964630900565}",0.11020841564589878,0.037004508260378155,2232.129499368343,2238.2923080983123,-1114.0647496841716,Flow size,"best=lognormal (shape=0.8921, loc=0, scale=274.5); KS D=0.1102, p=3.70e-02; AIC=2232.1, BIC=2238.3",app_proto,Application protocol,dns
flow_byte_sum__tls,pareto,148,"{'shape': 0.5095372241373963, 'loc': 0.0, 'scale': 60.0}",0.07028344021310207,0.43778781910118103,2292.423976742767,2298.418401290295,-1144.2119883713835,Flow size,"best=pareto (shape=0.5095, loc=0, scale=60); KS D=0.0703, p=4.38e-01; AIC=2292.4, BIC=2298.4",app_proto,Application protocol,tls
